organization_ein,nonprofit_name,irsclassification_nteecode,category,address,city,state,zipcode,website
135633307,HIAS,Q71,"International Migration, Refugee Issues","1300 Spring Street, Suite 500",Silver Spring,MD,20910,https://www.hias.org/
821274285,Home for Refugees USA,P84,"Ethnic, Immigrant Centers, Services",26682 AVENIDA ARIVACA,MISSION VIEJO,CA,92691-2606,http://www.homeforrefugeesusa.org/
263173703,Hope 4 Refugees,P84,"Ethnic, Immigrant Centers, Services",1515 N TOWN EAST BLVD 138 209,MESQUITE,TX,75150-4157,
825089830,Hope for Refugees Inc.,Q71,"International Migration, Refugee Issues",11 ROANOKE RD,WELLESLEY,MA,02482-6929,
275372331,Hope for the Refugee and Immigrant Inc.,P20,Human Service Organizations - Multipurpose,13819 CASTLE BLVD APT 34,SILVER SPRING,MD,20904-7344,
721487615,House of Refugee Ministries of the Apostolic Faith International Inc.,X21,Protestant,56 YELLOWSTONE DR,NEW ORLEANS,LA,70131-8618,
811896789,Houston Welcomes Refugees,P20,Human Service Organizations - Multipurpose,946 W 17TH ST,HOUSTON,TX,77008-3434,https://www.houstonwelcomesrefugees.com/
133116646,Human Rights First,Q70,International Human Rights,75 Broad Street,New York,NY,10004,https://www.humanrightsfirst.org/
752842602,Human Rights Initiative,P84,"Ethnic, Immigrant Centers, Services",2801 Swiss Avenue,Dallas,TX,75204,https://hrionline.org/
363783551,Illinois Coalition for Immigrant and Refugee Rights,R21,,"228 S. Wabash Ave, Suite 800",Chicago,IL,60604,https://www.icirr.org/
474426747,Immanuel House Refugee Project Inc.,L40,Low-Cost Temporary Housing,225 MOUNT HERMON RD SPC 184,SCOTTS VALLEY,CA,95066-4041,https://www.facebook.com/pages/category/Nonprofit-Organization/Immanuel-House-Refugee-Project-1741437739446237/
421696954,Immigrant & Refugee Womens Program,P80,Services to Promote the Independence of Specific Populations,5021 ADKINS AVE,SAINT LOUIS,MO,63116-2356,https://irwpstl.org/
840857486,Immigrant and Refugee Center of Northern Colorado,B61,,3001 8TH AVE STE 170,EVANS,CO,80620-1204,https://www.ircnoco.org/
822744813,Immigrant and Refugee Law Center,I80,Legal Services,1702 GRAND AVE,CINCINNATI,OH,45214-1502,https://irlawcenter.org/
842802566,Immigrant and Refugee Outreach Center,Q71,"International Migration, Refugee Issues",951 BELLVIEW RD,MCLEAN,VA,22102-1213,
275024085,Immigrant and Refugee Resource Village of Albuquerque Inc.,P80,Services to Promote the Independence of Specific Populations,PO BOX 8865,ALBUQUERQUE,NM,87198-8865,https://www.irrva.com/
223260883,Immigrant Legal Advocacy Project,I80,Legal Services,489 Congress Street,Portland,ME,4112,https://ilapmaine.org/
811596453,Indiana Refugee Network Inc.,P84,"Ethnic, Immigrant Centers, Services",3306 VAN TASSEL DR,INDIANAPOLIS,IN,46240-3555,https://indianarefugeenetwork.org/
911094800,Indochina Chinese Refugee Association,A23,"Cultural, Ethnic Awareness",200 21ST AVE,SEATTLE,WA,98122-5914,
953741966,Indochinese Muslim Refugee Association of the United States,X40,Islamic,1610 E 1ST ST,SANTA ANA,CA,92701-7315,
60653044,Integrated Refugee & Immigrant Services Inc.,,,235 NICOLL STREET FLOOR 2,NEW HAVEN,CT,06511-2670,https://www.irisct.org/
741488102,Interfaith Ministries for Greater Houston,,,3303 Main Street,Houston,TX,77002,https://www.imgh.org/
274394349,INTERFAITH REFUGEE MINISTRY INC,,,1913 TRENT BLVD,NEW BERN,NC,28560-4537,http://www.helpingrefugees.org/
270669322,International Association for Refugees,Q33,International Relief,1515 E 66TH ST,MINNEAPOLIS,MN,55423-2648,https://www.iafr.org/
271544492,International Council for Refugees and Immigrants Inc.,P20,Human Service Organizations - Multipurpose,PO BOX 8302,DES MOINES,IA,50301-8302,https://icrius.org/about-us/
900959435,International Refugee and Immigrants Community Services Nfp,S20,"Community, Neighborhood Development, Improvement (General)",8800 BRONX AVE STE 101,SKOKIE,IL,60077-1804,
474801588,International Refugee Assistance Association Inc.,P20,Human Service Organizations - Multipurpose,502 GAGE PL,COLUMBIA,MO,65203-0000,https://refugeerights.org/
822167556,International Refugee Assistance Project Inc.,P20,Human Service Organizations - Multipurpose,1 BATTERY PARK PLZ 4TH FL,NEW YORK,NY,10004-1586,https://refugeerights.org/
956133816,International Refugee Mission Inc.,,,1116 ELDEN AVE,LOS ANGELES,CA,90006-2929,
201408831,International Refugee Rights Initiative,R20,"Civil Rights, Advocacy for Specific Groups",1483 YORK AVE UNIT 20463,NEW YORK,NY,10021-8824,http://refugee-rights.org/
743233138,International Sudanese Refugee Care,Q33,International Relief,3838 SCOTWOOD DR,NASHVILLE,TN,37211-3527,
821543114,Ipswich Refugee Program Incorporated,P20,Human Service Organizations - Multipurpose,PO BOX 285,IPSWICH,MA,01938-0285,https://www.ipswichrefugeeprogram.org/
133808003,Iranian Refugees Alliance Inc.,Q71,"International Migration, Refugee Issues",PO BOX 316,NEW YORK,NY,10276-0316,http://www.irainc.org/
813853065,Islamic Center of the Triad Refugee & Immigration Community Service C,P40,Family Services,4930 MARY ST,GREENSBORO,NC,27409-2810,http://www.islamiccenterofthetriad.com/
832625221,Israeli Darandoka Organization for Refugees,S80,Community Service Clubs,957 E 3745 S APT 1,SALT LAKE CTY,UT,84106-1945,https://www.facebook.com/israelidarandokaforrefugees/?pageid=180389679279395&ftentidentifier=535424137109279&padding=0
821987282,Ithaca Welcomes Refugees Inc.,P84,"Ethnic, Immigrant Centers, Services",315 N CAYUGA ST,ITHACA,NY,14850-4208,http://ithacawelcomesrefugees.org/
521917902,James J Norris Foundation for Migrants and Refugees,T12,Fund Raising and/or Fund Distribution,1629 K ST NW STE 300,WASHINGTON,DC,20006-1631,
462061064,Japan-America Refugee Network Inc.,P20,Human Service Organizations - Multipurpose,78 MARLBORO RD,DELMAR,NY,12054-2921,
521355257,JESUIT REFUGEE SERVICE USA,,,"1016 16th St, Ste 500",Washington,DC,20036,https://www.jrsusa.org/
161242203,Journeys End Refugee Services,,,2495 MAIN ST STE 530,BUFFALO,NY,14214-2135,https://www.jersbuffalo.org/
821295491,Kalamazoo Refugee Resource Collaborative Inc.,P84,"Ethnic, Immigrant Centers, Services",6346 BROGAN HL,KALAMAZOO,MI,49009-8077,https://www.kalamazoorefugee.org/
821240928,KC Asylum Clinic,I80,Legal Services,2005 SWIFT AVE,N KANSAS CITY,MO,64116-3423,https://www.asylumclinickc.org/
821576842,KC for Refugees,R01,Alliance/Advocacy Organizations,824 W 53RD ST,KANSAS CITY,MO,64112-2324,https://www.kcforrefugees.org/
611229842,Kentucky Refugee Ministries Inc.,X99,"Religion Related, Spiritual Development N.E.C.",969B CHEROKEE RD,LOUISVILLE,KY,40204-2390,https://kyrm.org/
752999028,KinderUSA,Q33,International Relief,P.O. Box 224846,Dallas,TX,75222,https://www.kinderusa.org/
320355597,Korean-American North Korean Refugees Association of Phildelphi,B90,Educational Services and Schools - Other,1330 WILLOW AVE 1ST FL,ELKINS PARK,PA,19027-3138,
300986239,Lee County Refugee Center Inc.,P84,"Ethnic, Immigrant Centers, Services",125 GILBERT AVE S,LEHIGH ACRES,FL,33973-7001,https://www.facebook.com/pages/Lee-County-Refugee-Inc/1649985055118331
232864950,Liberian Refugee Relief Organization,P20,Human Service Organizations - Multipurpose,6747 GROVERS AVE,PHILADELPHIA,PA,19142-2608,
731710135,Liberty in North Korea,Q70,International Human Rights,236 East Third Street,Long Beach,CA,90802,
954402149,Life for Relief and Development,Q33,International Relief,17300 West Ten Mile Road,Southfield,MI,48075,https://www.lifeusa.org/
823005401,Louisiana Organization for Refugees and Immigrants,Q71,"International Migration, Refugee Issues",1183 S TINLEY DR,BATON ROUGE,LA,70815-5359,https://www.mylori.org/
831242316,Love Elevates Refugee Relief Network Inc.,S12,Fund Raising and/or Fund Distribution,434 RAMONA AVE APT 10,MONTEREY,CA,93940-3844,https://loveelevatesnetwork.com/
815412960,Love Without Borders - for Refugees in Need,P20,Human Service Organizations - Multipurpose,14042 BALLANTRAE DR,GRANDVIEW,MO,64030-0000,https://lovewithoutborders4refugees.com/
132574854,Lutheran Immigration and Refugee Service,,,700 LIGHT ST,BALTIMORE,MD,21230-3850,https://www.google.com/aclk?sa=l&ai=DChcSEwjO-7X_4IvqAhWJjcgKHX4RCkIYABAAGgJxdQ&sig=AOD64_1HuLoTq1M0z947y3KeAWfX_twEiw&q=&ved=2ahUKEwiq-av_4IvqAhWqgnIEHRieBZUQ0Qx6BAgOEAE&adurl=
831172111,Lynchburg Refugee Partnership,P99,Human Services - Multipurpose and Other N.E.C.,3109 RIVERMONT AVE,LYNCHBURG,VA,24503-1357,https://www.lynchburgrefugeepartnership.com/
832134635,Magdalena Orejel Scholarship Fund for Immigrant and Refugee Women,B82,"Scholarships, Student Financial Aid Services, Awards",PO BOX 791,LONG BEACH,CA,90801-0791,https://www.magdalenaorejelscholarshipfund.org/
263099485,Maine Immigrant & Refugee Services,P20,Human Service Organizations - Multipurpose,256 BARTLETT ST,LEWISTON,ME,04240-6501,https://meirs.org/
834566382,Marys Place Refugee Outreach Inc.,A70,Humanities Organizations,38 ALAMEDA ST,ROCHESTER,NY,14613-1419,http://www.marysplaceoutreach.org/
223115048,Massachusetts Immigrant and Refugee Advocacy Coalition,R21,,105 Chauncy Street,Boston,MA,2111,https://miracoalition.org/
930878944,Medical Teams International,Q30,"International Development, Relief Services",14150 Southwest Milton Court,Tigard,OR,97224,https://www.medicalteams.org/
830894018,Merciful Refugee and Immigrant Services,P84,"Ethnic, Immigrant Centers, Services",4560 E BROADWAY BLVD STE 217,TUCSON,AZ,85711-3558,https://merciful-refugee-and-immigrant-services.business.site/
461632162,Mercy Refugees House Inc.,P84,"Ethnic, Immigrant Centers, Services",13455 94TH PL NE,KIRKLAND,WA,98034-1855,https://mercyrefugeeshouse.org/
455297608,Mercy Without Limits,Q33,International Relief,"11661 College Boulevard, Suite 105",Overland Park,KS,66210,https://mwlimits.org/
382991927,Michigan Coalition for Immigrant and Refugee Rights,R21,,PO BOX 524,OSHTEMO,MI,49077-0524,http://www.mcirr.org/
843853152,Michigan Refugee Hope Project,P12,Fund Raising and/or Fund Distribution,4515 DOBIE RD,OKEMOS,MI,48864-2203,
822708301,Middle East Refugee Association,P84,"Ethnic, Immigrant Centers, Services",291 E LEXINGTON AVE,EL CAJON,CA,92020-4536,
264325931,Middle Eastern Immigrant and Refugee Alliance,Q30,"International Development, Relief Services",6420 N CALIFORNIA AVE UPPR 1,CHICAGO,IL,60645-5256,https://www.mirachicago.org/
473624702,Midwest Alliance for North Korean Refugees,R20,"Civil Rights, Advocacy for Specific Groups",2353 RICE ST STE 106,ROSEVILLE,MN,55113-3721,https://www.refugeesnorthkorea.org/
522279789,Migration Policy Institute,R05,Research Institutes and/or Public Policy Analysis,"1400 16th Street, NW",Washington,DC,20036,https://www.migrationpolicy.org/
650304098,MINISTRY WITH REFUGEE WOMEN AND CHILDREN INC,,,PO BOX 144880,CORAL GABLES,FL,33114-4880,
262884436,Missouri Immigrant & Refugee Advocates Inc.,R20,"Civil Rights, Advocacy for Specific Groups",2725 CLIFTON AVE,SAINT LOUIS,MO,63139-2712,https://www.mira-mo.org/
832814646,Moghamo Refugee Relief Fund - M R R F,Q71,"International Migration, Refugee Issues",619 GLENRIDGE CT SE,CONYERS,GA,30094-4418,
161158764,Mohawk Valley Resource Center for Refugees,P84,"Ethnic, Immigrant Centers, Services",201 BLEECKER ST,UTICA,NY,13501-2203,https://www.thecenterutica.org/
263636863,Multicultural Refugee Coalition,P84,"Ethnic, Immigrant Centers, Services",PO BOX 41566,AUSTIN,TX,78704-0027,https://www.mrcaustin.org/
474140533,My Vision for Refugees Inc.,Q71,"International Migration, Refugee Issues",2625 PIEDMONT ROAD NE,ATLANTA,GA,30324-3086,https://www.myvision4refugees.org/
131776711,National Immigration Forum,,,"50 F Street, NW",Washington,DC,20001,https://immigrationforum.org/
943065434,National Network for Immigrant & Refugee Rights,R05,Research Institutes and/or Public Policy Analysis,310 8TH STREET SUITE 310,SAN FRANCISCO,CA,94103-0000,http://www.nnirr.org/drupal/
390806269,Neighborhood House of Milwaukee,P20,Human Service Organizations - Multipurpose,2819 West Richardson Place,Milwaukee,WI,53208,https://neighborhoodhousemke.org/
410693916,"Neighborhood House, St. Paul",S22,"Neighborhood, Block Associations","179 Robie Street, E.",St. Paul,MN,55107,http://neighb.org/
821778726,Neighbors for Refugees Inc.,R20,"Civil Rights, Advocacy for Specific Groups",PO BOX 416,LARCHMONT,NY,10538-0416,https://www.neighborsforrefugees.org/
461670774,Network Refuge Center,P84,"Ethnic, Immigrant Centers, Services",100 E EUCLID AVENUE STE C,DES MOINES,IA,50313-4511,
300130066,New American Pathways,P84,"Ethnic, Immigrant Centers, Services",2300 Henderson Mill Road NE,Atlanta,GA,30345,http://newamericanpathways.org/
842679896,New Beginnings Career Network for Refugees & Immigrants,,,1274 ALCATRAZ AVE APT B,BERKELEY,CA,94702-2634,
464129722,New Empowerment for Refugees Inc.,P20,Human Service Organizations - Multipurpose,5830 W GREENBRIAR DR,GLENDALE,AZ,85308-3848,http://empoweringrefugees.com/
821794884,New York for Syrian Refugees Inc.,P80,Services to Promote the Independence of Specific Populations,20 CAYUGA CT,SLINGERLANDS,NY,12159-9400,https://www.ny4syrians.org/
133573409,New York Immigration Coalition,,,131 West 33rd Street,New York,NY,10001,https://www.nyic.org/
813040379,No Place Like Home for Refugees Inc.,Q33,International Relief,3959 BENNIGAN LN,DULUTH,GA,30097-8143,https://noplacelikehome.org/
800942331,Noahs Ark for Refugees Inc.,Q71,"International Migration, Refugee Issues",12263 ARUCAUNA WAY,SAN DIEGO,CA,92129-4565,
261565119,North Korean Refugee Services Mission,P84,"Ethnic, Immigrant Centers, Services",1611 128TH ST SW APT 303,EVERETT,WA,98204-7565,
461087014,North Korean Refugees in the United States,P84,"Ethnic, Immigrant Centers, Services",2020 PENNSYLVANIA AVE NW STE 168,WASHINGTON,DC,20006-1811,
475342860,Norwegian Refugee Council USA,Q33,International Relief,818 CONNECTICUT AVE NW STE 650,WASHINGTON,DC,20006-2762,https://www.nrc.no/usa
822082078,Once We Were Refugees,J22,Vocational Training,4120 SW DUCK POND DR,LEES SUMMIT,MO,64082-5017,https://www.oncewewererefugees.org/
810920338,One Refugee Child Inc.,Q33,International Relief,8 CLIFF RD,GREENWICH,CT,06830-6706,http://www.onerefugeechild.org/
811543266,Operation Refugee Child,Q71,"International Migration, Refugee Issues",28461 LA PRADERA,LAGUNA NIGUEL,CA,92677-4427,https://www.indiegogo.com/projects/operation-refugee-child--15
263748676,Oram - Organization for Refuge Asylum & Migration,Q30,"International Development, Relief Services",615 1ST AVENUENE STE 500,MINNEAPOLIS,MN,55413-0000,https://oramrefugee.org/
760826598,Organization for Refugee and Immigrant Success,P84,"Ethnic, Immigrant Centers, Services",434 LAKE AVE,MANCHESTER,NH,03103-4271,https://www.refugeesuccess.org/
814269680,Partners in Engaging and Empowering Refugees,,,5017 MILEY RD,PLANT CITY,FL,33565-3805,https://www.facebook.com/peertampa/
753239990,Partnership for the Advancement & Immersion of Refugees,,,3300 CHIMNEY ROCK RD STE 105,HOUSTON,TX,77056-6617,https://www.pairhouston.org/
814387843,Pcs for Refugees,W02,Management & Technical Assistance,1711 W UNIVERSITY DR,TEMPE,AZ,85281-3251,https://pcsforrefugees.com/
820715036,Pennsylvania Center for Refugees & Immigrants,W01,Alliance/Advocacy Organizations,3705 TRINDLE RD STE 111,CAMP HILL,PA,17011-4334,https://pacri.org/
30429146,Pennsylvania Immigrant and Refugee Womens Network,P84,"Ethnic, Immigrant Centers, Services",8 E LOCUST ST,ENOLA,PA,17025-3024,http://www.pairwn.org/
824092669,Pets for Refugees Inc.,D60,Other Services - Specialty Animals,22 BARONS RD,ROCHESTER,NY,14617-2114,https://www.petsforrefugees.org/
815389122,Pittsburgh Refugee Advocacy Organization,B01,Alliance/Advocacy Organizations,603 BITTERSWEET CT,CRANBERRY TWP,PA,16066-7713,
223003501,Political Asylum Immigration Representation Project Inc.,I80,Legal Services,98 N WASHINGTON ST STE 106,BOSTON,MA,02114-1913,https://www.pairproject.org/
821924164,Portland Refugee Support Group,P20,Human Service Organizations - Multipurpose,10175 SW BARBUR BLVD STE 102B,PORTLAND,OR,97219-5953,https://www.pdxrsg.org/
262450109,Preemptive Love Coalition,E60,Health Support Services,1300 Darbyton Drive,Hewitt,TX,76643,https://preemptivelove.org/
232958415,Prime-Ecumenical Commitment to Refugees,Q71,"International Migration, Refugee Issues",129 OWEN AVE,LANSDOWNE,PA,19050-1539,https://www.palawhelp.org/organization/prime-ecr-ecumenical-commitment-to-refugees?ref=JDCCO
742436920,RAICES,R21,,1305 N. Flores St.,San Antonio,TX,78212,https://actionnetwork.org/groups/raices-refugee-and-immigrant-center-for-education-and-legal-services
113631988,Refugee & Immigrant Fund Incorporated,P58,Gift Distribution,3213 37TH ST,ASTORIA,NY,11103-4003,
202873332,Refugee & Immigrant Self-Empowerment Inc.,Q71,"International Migration, Refugee Issues",302 BURT ST,SYRACUSE,NY,13202-3911,http://www.syracuserise.org/
811735941,Refugee & Immigrant Services and Empowerment,I80,Legal Services,2939 NW 53RD DR,PORTLAND,OR,97210-1067,
911167743,Refugee & Immigrant Services Northwest,,,2000 TOWER ST,EVERETT,WA,98201-1352,https://www.risnw.org/
832575039,Refugee Action for Family Health,P20,Human Service Organizations - Multipurpose,1450 S WEST TEMPLE APT H108,S SALT LAKE,UT,84115-5478,https://www.facebook.com/refugeeactionfamilyhealth/?ref=py_c
823487411,Refugee Aid Alliance Inc.,P99,Human Services - Multipurpose and Other N.E.C.,610 N KAYS DR,KAYSVILLE,UT,84037-4222,
204008643,Refugee Aid Ministries,Q33,International Relief,4 SAND PIPER PL,THE WOODLANDS,TX,77381-3117,
264724813,Refugee Alliance Network,A23,"Cultural, Ethnic Awareness",2822 GEORGIA AVE NW,WASHINGTON,DC,20001-4951,https://www.facebook.com/ARAGRCI/
43430294,Refugee and Immigrant Assistance Center Inc.,P84,"Ethnic, Immigrant Centers, Services",31 HEATH ST,JAMAICA PLAIN,MA,02130-1650,http://www.riacboston.org/
810920164,Refugee and Immigrant Association,P20,Human Service Organizations - Multipurpose,1566 S GILBERT ST,IOWA CITY,IA,52240-4304,http://refugeeimmigrant.org/
464034391,Refugee and Immigrant Services,Q71,"International Migration, Refugee Issues",537 LISBON ST,SAN FRANCISCO,CA,94112-3562,
821779829,Refugee and Immigrant Services & Education,P84,"Ethnic, Immigrant Centers, Services",PO BOX 866,NOEL,MO,64854-0866,
274809744,Refugee and Immigrant Support Services of Emmaus Inc.,P84,"Ethnic, Immigrant Centers, Services",715 MORRIS ST,ALBANY,NY,12208-2208,http://www.risse-albany.org/home/
821837961,Refugee and Migrant Women S Initiative,P20,Human Service Organizations - Multipurpose,2792,RIVERVIEW,FL,33568-0000,https://www.ramwi.org/
43259150,Refugee Apostolate Inc.,P20,Human Service Organizations - Multipurpose,242 CANTERBURY ST,WORCESTER,MA,01603-2839,
823429406,Refugee Assistance Alliance Inc.,P84,"Ethnic, Immigrant Centers, Services",1825 PONCE DE LEON BLVD NO 145,CORAL GABLES,FL,33134-4418,https://www.refugeeassistancealliance.org/
810712874,Refugee Assistance and Information Network International,Q71,"International Migration, Refugee Issues",10260 SW GREENBURG RD 4TH FLOOR,PORTLAND,OR,97223-5500,https://raininternational.org/
821634333,Refugee Assistance Partners Nj Nonprofit Corporation,R01,Alliance/Advocacy Organizations,559 PARK AVE,SCOTCH PLAINS,NJ,07076-1705,https://www.refugeeassistancepartnersnj.org/
823235377,Refugee Care Collective,P80,Services to Promote the Independence of Specific Populations,10160 SW NIMBUS AVE STE F3,PORTLAND,OR,97223-4338,https://refugeecarecollective.org/
822515143,Refugee Choir Project,A6B,"Singing, Choral",1753 S 41ST ST,TACOMA,WA,98418-1635,https://www.refugeechoir.org/
475274594,Refugee Communities Center,P80,Services to Promote the Independence of Specific Populations,4200 MERIDIAN ST STE 212,BELLINGHAM,WA,98226-5592,
263608741,Refugee Community Partnership Inc.,R99,"Civil Rights, Social Action, Advocacy N.E.C.",PO BOX 461,CARRBORO,NC,27510-0461,https://refugeecommunitypartnership.org/
815036387,Refugee Communiy Development Foundation,A25,Arts Education,5234 MELROSE AVE APT 209,LOS ANGELES,CA,90038-4360,
